,customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,no_partners_no_dependents,no_dependents_yes_partners,dependents_no_partners,yes_dependents_and_partners,start_date,average_monthly_charges,validate_monthly_charges,contract_type_desc,phone_type_desc,internet_type_desc,is_auto
13,0003-MKNFE,Male,0,No,No,2,1,0,Mailed check,$59.90,542.4,No,9,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200728,$59.90,TRUE,Month-to-Month,Two or More Lines,DSL,False
14,0004-TLHLJ,Male,0,No,No,1,2,0,Electronic check,$73.90,280.85,Yes,4,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210104,$73.90,TRUE,Month-to-Month,One Line,Fiber Optic,False
15,0011-IGKFF,Male,1,Yes,No,1,2,0,Electronic check,$98.00,1237.85,Yes,13,FALSE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20200410,$98.00,TRUE,Month-to-Month,One Line,Fiber Optic,False
16,0013-EXCHZ,Female,1,Yes,No,1,2,0,Mailed check,$83.90,267.4,Yes,3,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20210123,$83.90,TRUE,Month-to-Month,One Line,Fiber Optic,False
17,0013-MHZWF,Female,0,No,Yes,1,1,0,Credit card (automatic),$69.40,571.45,No,8,TRUE,FALSE,TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,FALSE,20200822,$69.40,TRUE,Month-to-Month,One Line,DSL,True
20,0015-UOCOJ,Female,1,No,No,1,1,0,Electronic check,$48.20,340.35,No,7,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200927,$48.20,TRUE,Month-to-Month,One Line,DSL,False
24,0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,$68.95,351.5,No,5,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20201125,$68.95,TRUE,Month-to-Month,One Line,Fiber Optic,False
29,0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,$72.10,72.1,No,1,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$72.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
31,0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,$25.10,25.1,Yes,1,FALSE,TRUE,FALSE,TRUE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210330,$25.10,TRUE,Month-to-Month,No Phone Service,DSL,False
33,0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,$94.10,1215.6,Yes,13,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20200402,$94.10,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
34,0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,$83.75,1849.95,No,22,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20190628,$83.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
35,0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,$19.85,57.2,No,3,TRUE,FALSE,TRUE,FALSE,FALSE,0,TRUE,FALSE,FALSE,FALSE,20210201,$19.85,TRUE,Month-to-Month,One Line,No Internet Service,False
36,0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,$20.35,76.35,Yes,4,TRUE,TRUE,TRUE,FALSE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20210105,$20.35,TRUE,Month-to-Month,One Line,No Internet Service,False
37,0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),$30.50,30.5,Yes,1,TRUE,TRUE,FALSE,TRUE,FALSE,3,FALSE,FALSE,FALSE,TRUE,20210330,$30.50,TRUE,Month-to-Month,No Phone Service,DSL,True
48,0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),$89.80,4959.6,No,55,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20160923,$89.80,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
49,0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,$94.75,5597.65,No,59,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20160529,$94.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,False
51,0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),$75.75,1929.0,No,25,FALSE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20190317,$75.75,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
52,0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,$49.25,91.1,Yes,2,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210304,$49.25,TRUE,Month-to-Month,One Line,DSL,False
56,0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,$45.00,1242.45,No,28,FALSE,FALSE,FALSE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,20190111,$45.00,TRUE,Month-to-Month,No Phone Service,DSL,False
60,0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,$44.30,44.3,No,1,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20210330,$44.30,TRUE,Month-to-Month,One Line,DSL,False
61,0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,$94.20,2607.6,No,28,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20190109,$94.20,TRUE,Month-to-Month,One Line,Fiber Optic,False
63,0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),$99.95,3767.4,No,38,TRUE,FALSE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,20180310,$99.95,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
64,0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,$91.55,3673.6,No,40,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20171226,$91.55,TRUE,Month-to-Month,One Line,Fiber Optic,False
65,0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),$104.50,4036.85,Yes,39,FALSE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20180209,$104.50,TRUE,Month-to-Month,Two or More Lines,Fiber Optic,True
66,0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,$95.00,1120.3,Yes,12,TRUE,TRUE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20200506,$95.00,TRUE,Month-to-Month,One Line,Fiber Optic,False
67,0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,$50.35,314.55,No,6,TRUE,FALSE,TRUE,TRUE,TRUE,1,FALSE,TRUE,FALSE,FALSE,20201021,$50.35,TRUE,Month-to-Month,Two or More Lines,DSL,False
68,0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,$64.50,1888.45,No,29,FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,FALSE,FALSE,FALSE,20181121,$64.50,TRUE,Month-to-Month,Two or More Lines,DSL,False
